acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,ori_x,ori_y,ori_z,ori_w,orie_x,orie_y,orie_z
-0.203613,-0.92627,0.333496,-52,-74.875,123.125,-0.451294,0.314514,-0.227661,0.803467,-1.14407,0.304608,-0.749226
-0.205078,-0.922852,0.35498,-53.75,-75.125,119.688,-0.455322,0.315186,-0.202148,0.807739,-1.14955,0.331107,-0.706056
-0.222656,-0.931152,0.375977,-49.5,-74.875,118.813,-0.458496,0.31543,-0.17688,0.811768,-1.15244,0.357479,-0.662795
-0.225586,-0.911133,0.36377,-47.8125,-75.5,111.5,-0.461548,0.314697,-0.152649,0.815247,-1.15384,0.381381,-0.620134
-0.195313,-0.925781,0.358398,-50.875,-73.625,105.875,-0.465088,0.313599,-0.12915,0.817688,-1.1559,0.403586,-0.578602
-0.166016,-0.954102,0.358887,-52.6875,-69.625,103.875,-0.46875,0.312622,-0.106262,0.819275,-1.1584,0.425335,-0.538563
-0.155762,-0.976074,0.327637,-50.5,-65.875,97.1875,-0.473755,0.309631,-0.0863037,0.819885,-1.16232,0.440012,-0.501438
-0.148438,-0.949707,0.34082,-48.25,-59.9375,88.625,-0.478394,0.306396,-0.0681763,0.820129,-1.16558,0.452638,-0.467138
-0.150391,-0.938477,0.368164,-48.75,-49.8125,82.1875,-0.48291,0.303772,-0.0518799,0.819641,-1.16975,0.464372,-0.437039
-0.148926,-0.970215,0.38623,-48.25,-40.1875,79.25,-0.487305,0.30188,-0.0370483,0.818542,-1.17488,0.475851,-0.410666
-0.202148,-0.962402,0.366211,-49.25,-28.6875,69.5,-0.492126,0.301208,-0.024231,0.816345,-1.183,0.486948,-0.390044
-0.259766,-0.907715,0.483398,-50.6875,-20.1875,63.25,-0.495911,0.301147,-0.0125122,0.814392,-1.18959,0.498484,-0.371776
-0.416504,-2.30225,0.424316,-31.625,-43.25,20.9375,-0.505981,0.291626,-0.00976563,0.811646,-1.20386,0.481954,-0.358584
-0.615234,-0.355957,0.379395,16.125,-60.125,-25.1875,-0.501953,0.283264,-0.00628662,0.817139,-1.18397,0.474193,-0.337565
0.105469,-0.606445,0.352051,-34.375,-27.625,19.75,-0.506226,0.276978,-0.00201416,0.816711,-1.18734,0.467193,-0.323376
-0.543945,-1.13525,0.241211,-43.1875,-32.3125,30.9375,-0.512756,0.27533,0.00683594,0.813171,-1.20021,0.472137,-0.30947
