timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1533863976861580,-2,-1,-5,-11,-2,-2,-3,-1
1533863976883521,0,0,4,2,-9,-1,0,-1
1533863976883521,1,-1,-8,-11,11,1,-1,-1
1533863976883521,-1,1,3,5,-7,0,0,1
1533863976883521,-3,-3,-3,6,5,-5,-2,-4
1533863976897485,-1,0,0,-2,4,0,-1,-3
1533863976897485,-1,1,-1,9,-6,0,1,3
1533863976904531,1,1,3,-6,9,1,2,-1
1533863976904531,-4,-7,-9,7,-14,-2,-4,-2
1533863976920426,0,-3,-5,-18,-4,-2,-3,-2
1533863976920426,-2,-2,-1,0,-4,-3,-2,-2
1533863976921420,0,3,5,23,4,1,1,1
1533863976921420,-4,-4,-5,-37,-15,-4,-1,-3
1533863976943365,-2,0,3,-3,-2,1,-3,-1
1533863976943365,-2,-5,-7,-9,-1,-6,-3,-2
1533863976943365,-1,0,5,7,7,1,-2,-1
1533863976943365,-2,-3,-8,0,-2,1,1,-2
1533863976957324,1,3,9,10,12,5,3,1
1533863976957324,2,6,13,62,10,4,5,0
1533863976965302,-8,-16,-30,-62,-40,-17,-13,-9
1533863976965302,1,2,6,31,-4,-1,-1,0
1533863976980264,-2,-2,-6,-3,-3,-4,-2,-2
1533863976980264,-2,-2,7,11,9,2,-2,-2
1533863976981261,-1,5,10,33,9,1,3,4
1533863976981261,-1,1,-4,0,-4,-4,-3,-3
1533863977003395,-2,-5,-8,-4,-7,-4,-1,-3
1533863977003395,-2,-2,-3,-25,-5,-3,-3,-2
1533863977004225,2,3,4,-8,6,2,1,-1
1533863977004225,0,0,-4,41,11,1,0,1
1533863977025142,-7,-7,-6,-39,-23,-11,-5,-4
1533863977025142,-3,-6,-13,-17,-9,-7,-5,-4
1533863977026140,2,3,14,14,5,6,2,2
1533863977026140,1,-2,-15,-14,7,2,2,-1
1533863977049078,1,4,3,28,3,3,2,2
1533863977049078,-3,-5,-6,-23,-11,-3,-3,-3
1533863977049078,-1,-2,0,1,-1,-2,-1,-1
1533863977049078,0,2,10,11,13,4,2,0
1533863977063041,0,-3,-3,-7,-2,-6,1,2
1533863977063041,-3,-2,-1,-4,-14,-4,-3,-1
1533863977064039,1,0,-5,-12,0,2,0,-1
1533863977064039,0,0,6,15,-1,-1,1,0
1533863977086042,-2,-2,-6,4,6,-1,-2,-1
1533863977086042,-1,0,3,20,10,1,-1,-1
1533863977086042,-2,-4,-8,-12,-17,-6,0,1
1533863977086042,-2,-1,0,-1,-4,1,-3,-3
1533863977108922,1,-1,6,22,3,0,-3,1
1533863977108922,0,1,-1,-15,1,0,-2,-2
1533863977109916,-1,-1,2,20,12,1,1,-2
1533863977109916,-1,-1,1,-16,-13,-5,-1,-2
1533863977123089,-1,1,-1,3,-1,-4,-1,-1
1533863977123089,-2,-1,-2,-7,1,-3,2,1
1533863977123879,-1,-2,-5,-7,1,-2,-2,-1
1533863977123879,-2,0,4,-6,1,0,-1,-1
1533863977145820,-2,-1,-1,-7,0,3,0,0
1533863977145820,0,-1,-3,-2,-1,-1,-2,-4
1533863977146822,-3,-1,-2,1,-1,0,0,-2
1533863977146822,1,0,0,-8,1,-2,0,0
1533863977168808,-1,-2,-2,9,4,-1,-1,-1
1533863977168808,1,-2,-2,-12,-12,-3,-3,0
1533863977169789,0,0,-3,-2,5,0,-2,-2
1533863977169789,-2,-2,0,-4,-8,-2,-1,0
1533863977182926,1,1,-2,-7,4,1,-2,0
1533863977182926,-1,0,3,-7,-5,-3,0,0
1533863977190703,-2,-2,-3,0,-3,-1,-2,-2
1533863977190703,1,-2,-1,-1,2,-1,-3,0
1533863977213639,-3,-1,0,-3,-11,0,2,-2
1533863977213639,-4,-2,-2,-3,-7,-1,-1,-1
1533863977214636,-3,0,-1,-9,0,0,-1,-1
1533863977214636,1,-1,1,7,12,2,-1,0
1533863977227601,1,0,-1,1,-2,-3,-2,-1
1533863977227601,1,0,-4,-4,3,0,2,0
1533863977228607,-1,-1,-3,0,-1,2,-1,-2
1533863977228607,-2,0,-2,-4,0,-1,-1,-2
1533863977242563,1,-3,3,5,1,-1,-1,-1
1533863977242563,-3,-1,-4,-9,-2,-2,-4,-4
1533863977250540,0,-1,0,-1,0,0,0,1
1533863977250540,-2,-2,-1,-6,-4,0,1,-1
1533863977265506,-3,-1,-2,1,-2,-1,0,1
1533863977265506,-1,1,3,8,8,5,0,-1
1533863977266499,-2,-1,0,4,10,-3,-3,-2
