timestamp,x,y,z,w
1533864095783144,-0.663757,0.190796,-0.400452,0.602234
1533864095804091,-0.661743,0.193542,-0.402039,0.602539
1533864095821043,-0.658691,0.196167,-0.403381,0.604126
1533864095842987,-0.655151,0.198792,-0.404846,0.60614
1533864095863928,-0.651672,0.201721,-0.406616,0.607727
1533864095880895,-0.647949,0.204285,-0.408875,0.609314
1533864095902827,-0.643677,0.206726,-0.411316,0.611389
1533864095924768,-0.63916,0.209656,-0.413513,0.613647
1533864095940723,-0.634521,0.213074,-0.415283,0.616089
1533864095963661,-0.6297,0.216675,-0.417175,0.618469
1533864095984804,-0.624329,0.220032,-0.419495,0.621155
1533864096000562,-0.617737,0.223267,-0.422058,0.624817
1533864096023506,-0.610474,0.226807,-0.424377,0.62915
1533864096044448,-0.60321,0.230652,-0.426025,0.633606
1533864096060416,-0.596375,0.234863,-0.427185,0.637756
1533864096083341,-0.58905,0.239136,-0.428284,0.642151
1533864096104288,-0.580566,0.243469,-0.429443,0.647522
1533864096120242,-0.571289,0.24762,-0.430359,0.653564
1533864096143182,-0.561523,0.251221,-0.431335,0.659912
1533864096164138,-0.551331,0.254944,-0.432007,0.666626
1533864096180083,-0.540955,0.258484,-0.432068,0.673706
1533864096203024,-0.529968,0.261047,-0.43219,0.681335
1533864096225960,-0.517395,0.262756,-0.433655,0.689331
1533864096239932,-0.505493,0.265625,-0.435669,0.69574
1533864096263866,-0.49353,0.269104,-0.438293,0.701355
1533864096285800,-0.480774,0.271423,-0.442627,0.706543
1533864096299766,-0.469788,0.273376,-0.447815,0.709961
1533864096323699,-0.459534,0.275146,-0.454407,0.711792
1533864096345640,-0.44989,0.275452,-0.462219,0.712769
1533864096366583,-0.440369,0.273254,-0.471802,0.713318
1533864096383540,-0.431458,0.270264,-0.480469,0.714111
1533864096405479,-0.421082,0.265747,-0.487915,0.716919
1533864096427465,-0.415955,0.263306,-0.493958,0.716736
1533864096443379,-0.412415,0.258362,-0.5,0.71637
1533864096465331,-0.410034,0.251404,-0.50824,0.714417
1533864096487261,-0.406921,0.243835,-0.516113,0.713135
1533864096503218,-0.403748,0.236755,-0.522644,0.712585
1533864096526190,-0.4021,0.23114,-0.527771,0.711548
1533864096547101,-0.402527,0.227051,-0.531494,0.709839
1533864096563061,-0.403931,0.224487,-0.534912,0.707336
1533864096586003,-0.40625,0.222961,-0.537903,0.704224
1533864096606941,-0.408569,0.222473,-0.5401,0.701355
1533864096622933,-0.411499,0.223328,-0.541931,0.697937
1533864096645837,-0.415955,0.226013,-0.544128,0.692688
1533864096666781,-0.420898,0.229126,-0.546509,0.686768
1533864096683736,-0.425842,0.231506,-0.549438,0.680603
1533864096705677,-0.430298,0.233276,-0.55249,0.674683
1533864096726753,-0.434143,0.234131,-0.555969,0.669067
1533864096743575,-0.437866,0.232117,-0.560303,0.663635
1533864096765517,-0.443298,0.231323,-0.56427,0.656921
1533864096786464,-0.447266,0.230713,-0.566284,0.652771
1533864096802421,-0.449951,0.230896,-0.567139,0.650085
1533864096825359,-0.455566,0.235962,-0.56604,0.645264
1533864096847315,-0.463257,0.244263,-0.564209,0.638245
1533864096863256,-0.468567,0.250793,-0.563904,0.63208
1533864096886202,-0.4729,0.25824,-0.564758,0.625122
